"myOrders/calendarPicker/setDate","Set date"
"myOrders/calendarPicker/january","January"
"myOrders/calendarPicker/february","February"
"myOrders/calendarPicker/march","March"
"myOrders/calendarPicker/april","April"
"myOrders/calendarPicker/may","May"
"myOrders/calendarPicker/june","June"
"myOrders/calendarPicker/july","July"
"myOrders/calendarPicker/august","August"
"myOrders/calendarPicker/september","September"
"myOrders/calendarPicker/october","October"
"myOrders/calendarPicker/november","November"
"myOrders/calendarPicker/december","December"
"myOrders/calendarPicker/su","Su"
"myOrders/calendarPicker/mo","Mo"
"myOrders/calendarPicker/tu","Tu"
"myOrders/calendarPicker/we","We"
"myOrders/calendarPicker/th","Th"
"myOrders/calendarPicker/fr","Fr"
"myOrders/calendarPicker/sa","Sa"
"myOrders/calendarPicker/selectDateError","Can not select these dates"
"myOrders/calendarPicker/setDateError","Please select both from date and to date"
"myOrders/orderDetail/order","ORDER"
"myOrders/orderDetail/subTotal","Sub total"
"myOrders/orderDetail/noteFromBuyer","Note from buyer:"
"myOrders/orderDetail/orderDate","Order date"
"myOrders/orderDetail/orderStatus","Order status"
"myOrders/orderDetail/buyerName","Buyer name"
"myOrders/orderDetail/buyerPhone","Buyer phone"
"myOrders/orderDetail/total","Total"
"myOrders/orderDetail/deliveryOption","Delivery option"
"myOrders/orderDetail/paymentOption","Payment option"
"myOrders/orderDetail/new","New"
"myOrders/orderDetail/inProgress","In progress"
"myOrders/orderDetail/ready","Ready"
"myOrders/orderDetail/cancelled","Cancelled"
"myOrders/orderDetail/completed","Completed"
"myOrders/orderDetail/rejected","Rejected"
"myOrders/orderDetail/pickup","Pickup"
"myOrders/orderDetail/delivery","Delivery"
"myOrders/orderDetail/reject","Reject"
"myOrders/orderDetail/accept","Accept"
"myOrders/orderDetail/cancelOrder","Cancel order"
"myOrders/orderDetail/readyForPickup","Ready for pickup"
"myOrders/orderDetail/completeOrder","Complete order"
"myOrders/orderDetail/completedOn","This order is completed on"
"myOrders/orderDetail/cancelledOn","This order is cancelled on"
"myOrders/orderDetail/rejectedOn","This order is rejected by outlet on"
"myOrders/orderDetail/changeStatusError","Unable to change order status"
"myOrders/rejectPopup/title","Reject this order?"
"myOrders/rejectPopup/desc","Are you sure you want to reject? You can also send a message to the buyer."
"myOrders/rejectPopup/messageToBuyer","Message to buyer"
"myOrders/rejectPopup/reject","Reject"
"myOrders/rejectPopup/cancel","Cancel"
"myOrders/rejectPopup/placeholder","Please type your message here"
"myOrders/cancelPopup/title","Cancel this order?"
"myOrders/cancelPopup/desc","Are you sure you want to cancel?"
"myOrders/cancelPopup/messageToBuyer","Message to buyer"
"myOrders/cancelPopup/confirm","Yes, cancel order"
"myOrders/cancelPopup/goBack","Go back"
"myOrders/cancelPopup/placeholder","Please type your message here"
"FAQ/submitButton","Submit your Question"
"FAQ/chatZalo","Chat with us on Zalo"
"FAQ/title","Frequently Asked Questions:"
"FAQ/QuestionTitle","SUBMIT A QUESTION"
"FAQ/questionRelated","Your question is related to "
"FAQ/howCanHelp","How can we help?"
"FAQ/submit","Submit"
"FAQ/placeholderLargeText","Please type your inquiry here"
"FAQ/gotIt","Got it"
"FAQ/submitSuccess","Your question has been submitted. We will get back to you as soon as possible."
"FAQ/submitError","Can not submit"
"FAQ/largeTextError","Your inquiry can not be empty"
"menu/createNewMenu/title","NEW MENU"
"menu/createNewMenu/Tab1Title","MENU INFORMATION"
"menu/createNewMenu/Tab2Title","MENU DETAIL"
"menu/createNewMenu/TitleBanner","Banner image"
"menu/createNewMenu/titleInput","Title"
"menu/createNewMenu/titleLargeInput","Description"
"menu/createNewMenu/saveButton","Save and continue"
"menu/createNewMenu/titlePlaceholder","Menu title"
"menu/createNewMenu/descriptionPlaceholder","Menu description"
"menu/createNewMenu/createSuccessMsg","Outlet information has been saved."
"menu/createNewMenu/noSectionTitle","No sections yet"
"menu/createNewMenu/noSectionDesLine1","You haven't added any sections yet."
"menu/createNewMenu/noSectionDesLine2","Please add one or import from Heineken."
"menu/createNewMenu/addSection","Add section"
"menu/createNewMenu/addSectionHeader","ADD SECTION"
"menu/createNewMenu/sectionName","Section name"
"menu/createNewMenu/placeHolderSectionName","Enter section name"
